% Model:              h7-version2.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jan 15 2022, 17:24
% Table:              Eigenfrequencies (Study 1) - 
% a                                               lambda (Hz)                                       Angular frequency (rad/s)                         Damping ratio (1)                                 Quality factor (1)
1                                                 11010.663473637042                                69182.0389598552                                  0                                                 Inf
1                                                 13214.741760654311                                83030.67126871567                                 0                                                 Inf
1                                                 16560.1079962232                                  104050.2272471768                                 0                                                 Inf
1                                                 31083.885878787027                                195305.81504364166                                0                                                 Inf
1                                                 34602.16688708071                                 217411.82658148152                                0                                                 Inf
1                                                 36332.45646141339                                 228283.55661209466                                0                                                 Inf
1.1                                               0.005450035886119715i                             0.03424358540326887i                              1                                                 0.5
1.1                                               0.005987839990668093i                             0.03762270825110811i                              1                                                 0.5
1.1                                               0.0031202829864942086                             0.019605316214982852                              0                                                 Inf
1.1                                               0.00503980185940578                               0.03166600899411476                               0                                                 Inf
1.1                                               0.007040873655149555                              0.04423911389974351                               0                                                 Inf
1.1                                               0.007990602461336765                              0.0502064359805842                                0                                                 Inf
1.1                                               971.2252790348477                                 6102.388403193149                                 0                                                 Inf
1.1                                               3153.438764441116                                 19813.640111826968                                0                                                 Inf
1.1                                               5427.678392915818                                 34103.10913046478                                 0                                                 Inf
1.1                                               8569.574191050964                                 53844.22264599681                                 0                                                 Inf
1.1                                               11524.499532427142                                72410.56613474424                                 0                                                 Inf
1.1                                               15342.03520628871                                 96396.85019038516                                 0                                                 Inf
1.1                                               31892.56487175933                                 200386.89501051002                                0                                                 Inf
1.1                                               35586.146659122285                                223594.35382773506                                0                                                 Inf
1.1                                               35925.52884186299                                 225726.75497185002                                0                                                 Inf
1.2000000000000002                                0.0011794144530659061i                            0.007410479562578949i                             1                                                 0.5
1.2000000000000002                                0.004326255139668065i                             0.027182662728672553i                             1                                                 0.5
1.2000000000000002                                0.004678087293488044i                             0.029393289348147594i                             1                                                 0.5
1.2000000000000002                                0.0023449333086603477                             0.01473365051129071                               0                                                 Inf
1.2000000000000002                                0.0030989676508255772                             0.019471388011092106                              0                                                 Inf
1.2000000000000002                                0.0036899137453498313                             0.02318441182954206                               0                                                 Inf
1.2000000000000002                                268.3384531741658                                 1686.020226335216                                 0                                                 Inf
1.2000000000000002                                1495.3881430345186                                9395.800808845053                                 0                                                 Inf
1.2000000000000002                                3955.680885791529                                 24854.276021496466                                0                                                 Inf
1.2000000000000002                                4842.882089805279                                 30428.725591067698                                0                                                 Inf
1.2000000000000002                                8662.596277568959                                 54428.69765324986                                 0                                                 Inf
1.2000000000000002                                12932.890685564731                                81259.74873490004                                 0                                                 Inf
1.2000000000000002                                33389.457762859376                                209792.1504302914                                 0                                                 Inf
1.2000000000000002                                34625.063324379305                                217555.68913990282                                0                                                 Inf
1.2000000000000002                                35339.444230365036                                222044.27675212198                                0                                                 Inf
